ID,ADDR,HEADERS,CONTENT,STATUS_CODE,REQ_TYPE,VALUE,TIME
RES_52_P7547,66.108.159.207,"{'WWW-Authenticate': 'Digest realm=""Sagemcom TR-069"", qop=""auth,auth-int"", nonce=""5cd1f798ca75b55c7843"", opaque=""011d8695""', 'Server': 'gSOAP/2.7', 'Content-Length': '0', 'Connection': 'close'}",b'',401,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
RES_53_P7547,66.66.105.125,"{'WWW-Authenticate': 'Digest realm=""Sagemcom TR-069"", qop=""auth,auth-int"", nonce=""5cd1f799ca6987b25b66"", opaque=""2c111154""', 'Server': 'gSOAP/2.7', 'Content-Length': '0', 'Connection': 'close'}",b'',401,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
RES_54_P7547,69.76.132.0,"{'Content-Length': '0', 'Server': 'TR069 client TCP connection request Server', 'WWW-Authenticate': 'Digest realm=""TR069 Client"", nonce=""GK1WW2sJQYIItcB520bxOQooBAmWw/S"", algorithm=""MD5"", domain=""/""', 'Connection': 'close'}",b'',401,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
RES_55_P7547,68.112.208.131,"{'WWW-Authenticate': 'Digest realm=""Sagemcom TR-069"", qop=""auth,auth-int"", nonce=""5cd1f798ca9e95ffef5a"", opaque=""df556c3c""', 'Server': 'gSOAP/2.7', 'Content-Length': '0', 'Connection': 'close'}",b'',401,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
RES_56_P7547,70.117.134.162,"{'WWW-Authenticate': 'Digest realm=""Sagemcom TR-069"", qop=""auth,auth-int"", nonce=""5cd1f799ca71f366312b"", opaque=""e00faf55""', 'Server': 'gSOAP/2.7', 'Content-Length': '0', 'Connection': 'close'}",b'',401,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
RES_57_P7547,74.128.211.110,"{'WWW-Authenticate': 'Digest realm=""Sagemcom TR-069"", qop=""auth,auth-int"", nonce=""5cd1f79aca659e1a245f"", opaque=""aeb5a34b""', 'Server': 'gSOAP/2.7', 'Content-Length': '0', 'Connection': 'close'}",b'',401,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
RES_58_P7547,74.128.226.196,"{'Server': 'gSOAP/2.7', 'Content-Length': '0', 'Connection': 'close'}",b'',404,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
RES_59_P7547,45.50.39.45,"{'Content-Length': '0', 'Server': 'TR069 client TCP connection request Server', 'WWW-Authenticate': 'Digest realm=""TR069 Client"", nonce=""RJzSH3+vNX+U0nxtFw8FGi8ccUUydJY"", algorithm=""MD5"", domain=""/""', 'Connection': 'close'}",b'',401,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
RES_60_P7547,71.74.2.108,"{'Content-Length': '0', 'Server': 'TR069 client TCP connection request Server', 'WWW-Authenticate': 'Digest realm=""TR069 Client"", nonce=""RJzSH3+vNX+U0nxtFw8FGi8ccUUydJY"", algorithm=""MD5"", domain=""/""', 'Connection': 'close'}",b'',401,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
RES_61_P7547,86.138.224.125,"{'Server': 'gSOAP/2.7', 'Content-Length': '0', 'Connection': 'close'}",b'',404,<PreparedRequest [GET]>,2022-05-02 23:10:34.405117
